0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,10
34,23
35,34
36,24
37,7
38,37
39,36
40,31
41,40
42,12
43,22
44,29
45,30
46,45
47,45
48,45
49,45
50,46
51,50
52,45
53,46
54,53
55,46
56,46
57,56
58,56
59,57
60,45
61,45
62,28
63,46
64,45
65,45
66,40
67,66
68,67
69,67
70,62
71,36
72,42
73,9
74,3
75,10
76,40
77,3
78,69
79,21
80,20
81,24
82,45
83,21
84,7
85,46
86,51
87,86
88,86
89,86
90,0
91,10
92,39
93,22
94,39
95,50
96,34
97,0
98,22
99,98
