1,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
32,34
33,35
33,36
33,37
33,38
33,39
33,40
33,41
33,42
33,43
33,44
34,45
35,46
36,47
37,48
38,49
38,50
39,51
39,52
40,53
40,54
41,55
42,56
43,57
43,58
43,59
43,60
43,61
43,62
43,63
44,64
45,65
46,66
46,67
46,68
46,69
47,70
48,71
49,72
50,73
51,74
52,75
53,76
54,77
55,78
56,79
57,80
58,81
58,82
59,83
60,84
61,85
61,86
61,87
62,88
62,89
63,90
64,91
65,92
66,93
67,94
68,95
69,96
70,97
71,98
72,99
73,100
74,101
75,102
76,103
77,104
78,105
79,106
80,107
81,108
82,109
83,110
84,111
84,112
85,113
85,114
85,115
85,116
85,117
85,118
85,119
86,120
86,121
87,122
88,123
89,124
90,125
91,126
92,127
92,128
93,129
94,130
95,131
96,132
97,133
98,134
99,135
99,136
100,137
101,138
102,139
103,140
104,141
104,142
105,143
106,144
107,145
108,146
109,147
110,148
111,149
112,150
113,151
114,152
115,153
116,154
117,155
118,156
119,157
120,158
121,159
122,160
123,161
124,162
125,163
126,164
127,165
128,166
129,167
130,168
131,169
131,170
132,171
133,172
134,173
135,174
136,175
137,176
138,177
139,178
139,179
139,180
139,181
139,182
139,183
139,184
139,185
139,186
139,187
140,188
141,189
142,190
143,191
144,192
145,193
146,194
147,195
148,196
149,197
150,198
151,199
152,200
153,201
154,202
155,203
156,204
157,205
158,206
159,207
160,208
161,209
162,210
163,211
164,212
165,213
166,214
167,215
168,216
169,217
170,218
171,219
172,220
173,221
174,222
175,223
176,224
177,225
178,226
178,227
179,228
180,229
181,230
182,231
183,232
184,233
185,234
186,235
187,236
188,237
189,238
190,239
191,240
192,241
193,242
194,243
195,244
196,245
196,246
197,247
198,248
199,249
200,250
200,251
200,252
200,253
201,254
201,255
202,256
203,257
204,258
204,259
205,260
206,261
207,262
208,263
208,264
208,265
208,266
208,267
208,268
208,269
208,270
208,271
208,272
208,273
208,274
209,275
210,276
211,277
212,278
213,279
213,280
213,281
214,282
215,283
215,284
216,285
217,286
218,287
219,288
220,289
221,290
221,291
222,292
223,293
224,294
225,295
226,296
227,297
228,298
229,299
230,300
