1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,15
14,17
15,18
16,19
17,20
18,21
19,22
20,23
21,24
22,26
23,27
24,28
25,29
26,30
27,31
28,33
29,34
30,35
31,36
32,37
33,39
34,40
35,41
36,42
37,43
38,44
39,45
40,46
41,47
42,49
43,50
44,51
45,52
46,53
47,54
48,55
49,56
50,57
51,58
52,59
53,60
54,61
55,62
56,63
57,65
58,66
59,67
60,69
61,70
62,75
63,76
64,77
65,78
66,79
67,80
68,81
69,82
70,83
71,84
72,87
73,88
74,90
75,91
76,92
77,93
78,94
79,95
80,96
81,97
82,98
83,99
84,104
85,109
86,111
87,115
88,116
89,117
90,118
91,120
92,122
93,123
94,124
95,125
96,126
97,127
98,128
99,129
100,132
101,133
102,134
103,140
104,143
105,145
106,148
107,150
108,152
109,155
110,170
111,181
112,182
113,183
114,184
115,185
116,186
117,187
118,188
