0,-1
1,-1
2,-1
3,0
4,1
5,2
6,0
7,4
8,2
9,0
11,4
12,8
13,9
14,4
15,2
16,13
18,1
19,15
20,13
21,1
22,2
23,13
24,21
25,22
26,3
27,24
28,8
29,0
30,27
31,28
32,6
33,24
34,2
35,9
36,33
37,34
38,35
39,24
40,8
41,35
42,27
43,40
44,13
45,24
46,2
47,0
48,1
49,46
50,0
51,21
53,15
54,50
55,1
56,53
57,54
58,18
59,22
60,26
61,18
62,59
63,6
64,21
65,15
66,41
67,64
68,65
69,66
70,1
71,22
72,32
73,58
74,71
75,13
76,73
77,8
78,0
79,27
81,2
82,13
83,79
85,8
86,0
87,79
89,85
90,50
91,18
93,89
94,13
95,91
97,85
98,13
99,95
